comments,duration,languages,published_date,date,tags,views,year,month,name,url
4553,1164,60,1151367060,2006-06-27,"['children', 'creativity', 'culture', 'dance', 'education', 'parenting', 'teaching']",47227110,2006,Jun,Ken Robinson,"https://www.ted.com/talks/ken_robinson_says_schools_kill_creativity
"
265,977,43,1151367060,2006-06-27,"['alternative energy', 'cars', 'climate change', 'culture', 'environment', 'global issues', 'science', 'sustainability', 'technology']",3200520,2006,Jun,Al Gore,"https://www.ted.com/talks/al_gore_on_averting_climate_crisis
"
124,1286,26,1151367060,2006-06-27,"['computers', 'entertainment', 'interface design', 'media', 'music', 'performance', 'simplicity', 'software', 'technology']",1636292,2006,Jun,David Pogue,"https://www.ted.com/talks/david_pogue_says_simplicity_sells
"
200,1116,35,1151367060,2006-06-27,"['MacArthur grant', 'activism', 'business', 'cities', 'environment', 'green', 'inequality', 'politics', 'pollution']",1697550,2006,Jun,Majora Carter,"https://www.ted.com/talks/majora_carter_s_tale_of_urban_renewal
"
593,1190,48,1151440680,2006-06-27,"['Africa', 'Asia', 'Google', 'demo', 'economics', 'global development', 'global issues', 'health', 'math', 'statistics', 'visualizations']",12005869,2006,Jun,Hans Rosling,"https://www.ted.com/talks/hans_rosling_shows_the_best_stats_you_ve_ever_seen
"
672,1305,36,1151440680,2006-06-27,"['business', 'culture', 'entertainment', 'goal-setting', 'motivation', 'potential', 'psychology']",20685401,2006,Jun,Tony Robbins,"https://www.ted.com/talks/tony_robbins_asks_why_we_do_what_we_do
"
919,992,31,1152490260,2006-07-10,"['Christianity', 'God', 'atheism', 'comedy', 'culture', 'humor', 'performance', 'religion', 'storytelling']",3769987,2006,Jul,Julia Sweeney,"https://www.ted.com/talks/julia_sweeney_on_letting_go_of_god
"
46,1198,19,1152490260,2006-07-10,"['architecture', 'collaboration', 'culture', 'design', 'library']",967741,2006,Jul,Joshua Prince-Ramus,"https://www.ted.com/talks/joshua_prince_ramus_on_seattle_s_library
"
852,1485,32,1153181460,2006-07-18,"['God', 'TED Brain Trust', 'atheism', 'brain', 'cognitive science', 'consciousness', 'evolution', 'philosophy', 'religion']",2567958,2006,Jul,Dan Dennett,"https://www.ted.com/talks/dan_dennett_s_response_to_rick_warren
"
900,1262,31,1153181460,2006-07-18,"['Christianity', 'God', 'culture', 'happiness', 'leadership', 'motivation', 'philanthropy', 'religion']",3095993,2006,Jul,Rick Warren,"https://www.ted.com/talks/rick_warren_on_a_life_of_purpose
"
79,1414,27,1153786260,2006-07-25,"['activism', 'architecture', 'collaboration', 'culture', 'design', 'disaster relief', 'global issues', 'invention', 'open-source', 'philanthropy']",1211416,2006,Jul,Cameron Sinclair,"https://www.ted.com/talks/cameron_sinclair_on_open_source_architecture
"
55,1538,20,1153786260,2006-07-25,"['TED Prize', 'art', 'culture', 'entertainment', 'film', 'global issues', 'movies', 'peace', 'social change', 'storytelling']",387877,2006,Jul,Jehane Noujaim,"https://www.ted.com/talks/jehane_noujaim_inspires_a_global_day_of_film
"
71,1550,24,1153786260,2006-07-25,"['TED Prize', 'collaboration', 'disease', 'ebola', 'global issues', 'health', 'science', 'technology']",693341,2006,Jul,Larry Brilliant,"https://www.ted.com/talks/larry_brilliant_wants_to_stop_pandemics
"
242,527,27,1154391060,2006-08-01,"['demo', 'design', 'interface design', 'technology']",4531020,2006,Jul,Jeff Han,"https://www.ted.com/talks/jeff_han_demos_his_breakthrough_touchscreen
"
99,1057,25,1154391060,2006-08-01,"['children', 'design', 'education', 'entrepreneur', 'global issues', 'philanthropy', 'social change', 'technology']",358304,2006,Jul,Nicholas Negroponte,"https://www.ted.com/talks/nicholas_negroponte_on_one_laptop_per_child
"
325,1481,31,1154995860,2006-08-08,"['entertainment', 'music', 'performance', 'violin', 'wunderkind', 'youth']",2702470,2006,Aug,Sirena Huang,"https://www.ted.com/talks/sirena_huang_dazzles_on_violin
"
305,1445,32,1154995860,2006-08-08,"['creativity', 'entertainment', 'music', 'performance', 'piano', 'wunderkind']",1628912,2006,Aug,Jennifer Lin,"https://www.ted.com/talks/jennifer_lin_improvs_piano_magic
"
88,906,27,1155600660,2006-08-15,"['MacArthur grant', 'alternative energy', 'design', 'engineering', 'global issues', 'industrial design', 'invention', 'simplicity']",1415724,2006,Aug,Amy Smith,"https://www.ted.com/talks/amy_smith_shares_simple_lifesaving_design
"
163,1170,22,1155600660,2006-08-15,"['DNA', 'biology', 'creativity', 'design', 'industrial design', 'invention', 'nature', 'product design', 'science and art']",1074081,2006,Aug,Ross Lovegrove,"https://www.ted.com/talks/ross_lovegrove_shares_organic_designs
"
84,1201,32,1156119060,2006-08-21,"['business', 'collaboration', 'culture', 'invention', 'media', 'open-source', 'technology', 'wikipedia']",1106561,2006,Aug,Jimmy Wales,"https://www.ted.com/talks/jimmy_wales_on_the_birth_of_wikipedia
"
108,1114,27,1156119060,2006-08-21,"['business', 'collaboration', 'culture', 'global issues', 'library', 'open-source', 'technology']",966439,2006,Aug,Richard Baraniuk,"https://www.ted.com/talks/richard_baraniuk_on_open_source_learning
"
185,1136,26,1156464660,2006-08-25,"['collaboration', 'comedy', 'community', 'culture', 'dance', 'demo', 'entertainment', 'humor', 'performance', 'software']",6141440,2006,Aug,Ze Frank,"https://www.ted.com/talks/ze_frank_s_nerdcore_comedy
"
50,1006,20,1156464660,2006-08-25,"['business', 'communication', 'community', 'culture', 'design', 'entertainment', 'software', 'storytelling']",518624,2006,Aug,Mena Trott,"https://www.ted.com/talks/mena_trott_tours_her_blog_world
"
556,1407,33,1157501460,2006-09-06,"['cognitive science', 'culture', 'evolution', 'gender', 'love', 'psychology', 'relationships', 'science']",9260764,2006,Sep,Helen Fisher,"https://www.ted.com/talks/helen_fisher_tells_us_why_we_love_cheat
"
117,1225,23,1157501460,2006-09-06,"['culture', 'entertainment', 'gender', 'global issues', 'happiness', 'performance', 'storytelling', 'theater', 'women']",1131864,2006,Sep,Eve Ensler,"https://www.ted.com/talks/eve_ensler_on_happiness_in_body_and_soul
"
184,1140,29,1158019860,2006-09-12,"['climate change', 'cosmos', 'culture', 'environment', 'global issues', 'physics', 'science', 'technology', 'universe']",1096862,2006,Sep,David Deutsch,"https://www.ted.com/talks/david_deutsch_on_our_place_in_the_cosmos
"
507,1316,36,1158019860,2006-09-12,"['astronomy', 'biology', 'cognitive science', 'cosmos', 'evolution', 'physics', 'psychology', 'science']",2885999,2006,Sep,Richard Dawkins,"https://www.ted.com/talks/richard_dawkins_on_our_queer_universe
"
95,1275,25,1158624660,2006-09-19,"['business', 'cities', 'culture', 'economics', 'narcotics', 'race']",2863214,2006,Sep,Steven Levitt,"https://www.ted.com/talks/steven_levitt_analyzes_crack_economics
"
355,1050,37,1158624660,2006-09-19,"['business', 'choice', 'consumerism', 'culture', 'economics', 'food', 'marketing', 'media', 'storytelling']",7023562,2006,Sep,Malcolm Gladwell,"https://www.ted.com/talks/malcolm_gladwell_on_spaghetti_sauce
"
970,1276,43,1159229460,2006-09-26,"['TED Brain Trust', 'brain', 'choice', 'culture', 'evolution', 'happiness', 'psychology', 'science']",14689301,2006,Sep,Dan Gilbert,"https://www.ted.com/talks/dan_gilbert_asks_why_are_we_happy
"
991,1177,45,1159229460,2006-09-26,"['business', 'choice', 'culture', 'decision-making', 'economics', 'happiness', 'personal growth', 'potential', 'psychology']",10000702,2006,Sep,Barry Schwartz,"https://www.ted.com/talks/barry_schwartz_on_the_paradox_of_choice
"
213,1129,26,1159747860,2006-10-02,"['cancer', 'disease', 'health', 'science', 'technology', 'wunderkind']",1030267,2006,Oct,Eva Vertes,"https://www.ted.com/talks/eva_vertes_looks_to_the_future_of_medicine
"
612,1365,29,1159747860,2006-10-02,"['aging', 'biotech', 'disease', 'engineering', 'future', 'health care', 'science', 'technology']",3277740,2006,Oct,Aubrey de Grey,"https://www.ted.com/talks/aubrey_de_grey_says_we_can_avoid_aging
"
74,952,21,1160439060,2006-10-10,"['alternative energy', 'business', 'communication', 'culture', 'global development', 'global issues', 'invention', 'investment', 'microfinance', 'poverty', 'technology', 'telecom', 'transportation']",503517,2006,Oct,Iqbal Quadir,"https://www.ted.com/talks/iqbal_quadir_says_mobiles_fight_poverty
"
58,773,26,1160439060,2006-10-10,"['Africa', 'TED Brain Trust', 'business', 'culture', 'entrepreneur', 'global development', 'investment', 'microfinance', 'philanthropy', 'poverty']",705389,2006,Oct,Jacqueline Novogratz,"https://www.ted.com/talks/jacqueline_novogratz_invests_in_ending_poverty
"
43,1080,21,1161130260,2006-10-18,"['business', 'culture', 'global issues', 'investment', 'media', 'philanthropy']",580891,2006,Oct,Sasa Vucinic,"https://www.ted.com/talks/sasa_vucinic_invests_in_free_press
"
67,1125,24,1161130260,2006-10-18,"['business', 'corruption', 'culture', 'economics', 'entrepreneur', 'global development', 'global issues', 'investment', 'military', 'policy', 'politics', 'poverty']",809226,2006,Oct,Ashraf Ghani,"https://www.ted.com/talks/ashraf_ghani_on_rebuilding_broken_states
"
186,1177,28,1161735060,2006-10-25,"['NASA', 'aircraft', 'business', 'design', 'engineering', 'entrepreneur', 'flight', 'industrial design', 'invention', 'rocket science']",2028451,2006,Oct,Burt Rutan,"https://www.ted.com/talks/burt_rutan_sees_the_future_of_space
"
57,1083,26,1161735060,2006-10-25,"['climate change', 'culture', 'exploration', 'global issues', 'personal growth', 'potential', 'sports', 'technology', 'travel']",745231,2006,Oct,Ben Saunders,"https://www.ted.com/talks/ben_saunders_skis_to_the_north_pole
"
112,1672,24,1162253460,2006-10-31,"['AIDS', 'Africa', 'activism', 'entertainment', 'global issues', 'philanthropy', 'poverty', 'social change']",718649,2006,Oct,Bono,"https://www.ted.com/talks/bono_s_call_to_action_for_africa
"
